Name,Category,Price,Photo_Image,Description
Pufferfish,Fish,200,https://stardewvalleywiki.com/mediawiki/images/b/ba/Pufferfish.png,Inflates when threatened.
Tuna,Fish,100,https://stardewvalleywiki.com/mediawiki/images/c/c5/Tuna.png,A large fish that lives in the ocean.
Rainbow Trout,Fish,65,https://stardewvalleywiki.com/mediawiki/images/1/14/Rainbow_Trout.png,A freshwater trout with colorful markings.
Eel,Fish,85,https://stardewvalleywiki.com/mediawiki/images/9/91/Eel.png,"A long, slippery little fish."
Wild Horseradish,Foraging,50,https://stardewvalleywiki.com/mediawiki/images/9/90/Wild_Horseradish.png,A spicy root found in the spring.
Spice Berry,Foraging,80,https://stardewvalleywiki.com/mediawiki/images/c/c6/Spice_Berry.png,It fills the air with a pungent aroma.
Wild Plum,Foraging,80,https://stardewvalleywiki.com/mediawiki/images/3/3b/Wild_Plum.png,Tart and juicy with a pungent aroma.
Crystal Fruit,Foraging,100,https://stardewvalleywiki.com/mediawiki/images/3/3f/Snow_Yam.png,This little yam was hiding beneath the snow.
Purple Mushroom,Foraging,250,https://stardewvalleywiki.com/mediawiki/images/4/4b/Purple_Mushroom.png,A rare mushroom found deep in caves.
Ginger,Foraging,60,https://stardewvalleywiki.com/mediawiki/images/8/85/Ginger.png,"This sharp, spicy root is said to increase vitality."
Cauliflower ,Crop,175,https://stardewvalleywiki.com/mediawiki/images/a/aa/Cauliflower.png,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients."
Potato,Crop,80,https://stardewvalleywiki.com/mediawiki/images/c/c2/Potato.png,A widely cultivated tuber.
Strawberry,Crop,120,https://stardewvalleywiki.com/mediawiki/images/6/6d/Strawberry.png,"A sweet, juicy favorite with an appealing red color."
Melon,Crop,250,https://stardewvalleywiki.com/mediawiki/images/1/19/Melon.png,"A cool, sweet summer treat."
Pumpkin,Crop,320,https://stardewvalleywiki.com/mediawiki/images/6/64/Pumpkin.png,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration."
